frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
21,5.421,Dakar - Scène 1,group_01,traffic.mp4,18,person,0.401,739,681,770,779,755,779,1280,720,true,down,8.5
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.929,1336,405,1630,824,1483,824,1280,720,true,down,5.5
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.904,894,679,1139,838,1016,838,1280,720,true,down,22.8
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.846,1758,600,1865,881,1811,881,1280,720,true,down,3.9
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.794,1657,596,1775,770,1716,770,1280,720,true,down,14.1
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.72,769,682,889,785,829,785,1280,720,true,down,39.3
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.699,1187,660,1333,793,1260,793,1280,720,true,down,8.7
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.625,437,613,628,898,533,898,1280,720,true,down,209.4
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,1,bus,0.594,1,446,387,1070,194,1070,1280,720,true,down,125.0
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.536,434,675,617,975,526,975,1280,720,true,down,125.1
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,22,person,0.523,715,687,744,780,729,780,1280,720,true,down,19.9
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,20,person,0.456,1871,625,1919,965,1895,965,1280,720,true,down,42.7
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,18,person,0.352,741,681,776,782,758,782,1280,720,true,down,16.6
22,5.677,Dakar - Scène 1,group_01,traffic.mp4,24,person,0.332,651,682,686,781,669,781,1280,720,true,down,23.4
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.927,1335,404,1630,824,1483,824,1280,720,true,down,0.0
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.856,1762,602,1871,885,1816,885,1280,720,true,down,22.8
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.844,887,682,1137,842,1011,842,1280,720,true,down,22.8
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.773,1663,598,1780,771,1721,771,1280,720,true,down,18.1
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,21,motorcycle,0.742,404,664,606,981,505,981,1280,720,true,down,77.7
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.645,770,683,887,786,828,786,1280,720,true,down,5.0
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.619,1185,661,1334,795,1260,795,1280,720,true,down,7.1
23,5.958,Dakar - Scène 1,group_01,traffic.mp4,24,person,0.532,656,683,689,781,673,781,1280,720,true,down,14.2
